SAHAM;Hari ;Friday;Monday
10000;Monday;0;1
9900;Tuesday;0;0
9850;Wednesday;0;0
9950;Thursday;0;0
9900;Friday;1;0
9975;Monday;0;1
9975;Tuesday;0;0
9900;Wednesday;0;0
10050;Thursday;0;0
10150;Friday;1;0
10025;Monday;0;1
10000;Tuesday;0;0
9900;Wednesday;0;0
9400;Thursday;0;0
9400;Friday;1;0
9600;Monday;0;1
9350;Tuesday;0;0
9375;Wednesday;0;0
9250;Thursday;0;0
9150;Friday;1;0
9375;Monday;0;1
9600;Tuesday;0;0
9725;Wednesday;0;0
9950;Thursday;0;0
9850;Friday;1;0
9700;Monday;0;1
9850;Tuesday;0;0
9550;Wednesday;0;0
9800;Thursday;0;0
9825;Friday;1;0
10000;Wednesday;0;0
10200;Thursday;0;0
9900;Friday;1;0
10275;Tuesday;0;0
10200;Wednesday;0;0
11000;Thursday;0;0
10900;Friday;1;0
11000;Monday;0;1
11200;Tuesday;0;0
10825;Wednesday;0;0
10850;Thursday;0;0
10575;Friday;1;0
10525;Monday;0;1
10625;Tuesday;0;0
11400;Wednesday;0;0
11075;Thursday;0;0
10950;Friday;1;0
10750;Monday;0;1
10650;Tuesday;0;0
10725;Wednesday;0;0
11100;Thursday;0;0
11600;Friday;1;0
11200;Monday;0;1
10900;Tuesday;0;0
11150;Wednesday;0;0
10700;Thursday;0;0
10700;Friday;1;0
10550;Monday;0;1
10175;Tuesday;0;0
10175;Wednesday;0;0
10300;Thursday;0;0
10200;Friday;1;0
10275;Monday;0;1
10525;Tuesday;0;0
10850;Wednesday;0;0
11050;Thursday;0;0
11700;Monday;0;1
11300;Tuesday;0;0
11575;Wednesday;0;0
11750;Thursday;0;0
11225;Friday;1;0
11100;Monday;0;1
11325;Tuesday;0;0
11125;Wednesday;0;0
11050;Thursday;0;0
10975;Friday;1;0
10850;Monday;0;1
10700;Tuesday;0;0
10475;Wednesday;0;0
10725;Thursday;0;0
10550;Friday;1;0
10700;Monday;0;1
10525;Tuesday;0;0
10475;Wednesday;0;0
10500;Thursday;0;0
10525;Friday;1;0
10475;Monday;0;1
10450;Tuesday;0;0
10250;Wednesday;0;0
10025;Thursday;0;0
9650;Friday;1;0
9850;Monday;0;1
9900;Tuesday;0;0
9875;Wednesday;0;0
10350;Thursday;0;0
10625;Monday;0;1
10900;Tuesday;0;0
10650;Wednesday;0;0
11000;Thursday;0;0
10550;Friday;1;0
10325;Monday;0;1
10250;Tuesday;0;0
10250;Wednesday;0;0
10200;Thursday;0;0
10125;Friday;1;0
10125;Monday;0;1
10125;Tuesday;0;0
9925;Wednesday;0;0
9925;Thursday;0;0
9925;Friday;1;0
10100;Monday;0;1
9900;Tuesday;0;0
9900;Wednesday;0;0
9900;Thursday;0;0
9900;Friday;1;0
9650;Monday;0;1
9000;Thursday;0;0
9000;Friday;1;0
9125;Monday;0;1
8975;Tuesday;0;0
8950;Wednesday;0;0
8700;Wednesday;0;0
8700;Thursday;0;0
8700;Friday;1;0
8350;Monday;0;1
8375;Tuesday;0;0
8300;Wednesday;0;0
8525;Thursday;0;0
8775;Friday;1;0
8750;Monday;0;1
8400;Wednesday;0;0
8400;Thursday;0;0
8675;Monday;0;1
8800;Tuesday;0;0
8700;Wednesday;0;0
8725;Thursday;0;0
8275;Friday;1;0
8175;Wednesday;0;0
7775;Thursday;0;0
7625;Friday;1;0
7650;Monday;0;1
7600;Tuesday;0;0
7650;Wednesday;0;0
7075;Thursday;0;0
7125;Friday;1;0
6950;Monday;0;1
6725;Tuesday;0;0
6925;Wednesday;0;0
6850;Thursday;0;0
6950;Friday;1;0
7050;Monday;0;1
7575;Tuesday;0;0
7575;Wednesday;0;0
7425;Thursday;0;0
7250;Friday;1;0
7050;Monday;0;1
7100;Tuesday;0;0
7075;Wednesday;0;0
6925;Thursday;0;0
7225;Friday;1;0
7400;Monday;0;1
7625;Tuesday;0;0
7675;Wednesday;0;0
7625;Thursday;0;0
7725;Friday;1;0
7850;Monday;0;1
7600;Tuesday;0;0
8625;Wednesday;0;0
8575;Thursday;0;0
8925;Friday;1;0
9000;Monday;0;1
8950;Tuesday;0;0
8600;Wednesday;0;0
8325;Thursday;0;0
8400;Friday;1;0
8100;Monday;0;1
7600;Tuesday;0;0
8000;Wednesday;0;0
8150;Thursday;0;0
8450;Monday;0;1
8625;Tuesday;0;0
9075;Thursday;0;0
8750;Friday;1;0
9400;Monday;0;1
9200;Tuesday;0;0
9200;Wednesday;0;0
9250;Thursday;0;0
9450;Friday;1;0
9275;Monday;0;1
9275;Tuesday;0;0
8850;Wednesday;0;0
8875;Thursday;0;0
8975;Friday;1;0
8775;Monday;0;1
9000;Thursday;0;0
9000;Friday;1;0
8800;Monday;0;1
8525;Tuesday;0;0
9000;Wednesday;0;0
9075;Thursday;0;0
9300;Friday;1;0
9125;Monday;0;1
9025;Tuesday;0;0
9150;Wednesday;0;0
9425;Thursday;0;0
9925;Friday;1;0
9600;Monday;0;1
9025;Tuesday;0;0
9150;Wednesday;0;0
8850;Thursday;0;0
8925;Friday;1;0
9300;Monday;0;1
9300;Tuesday;0;0
9125;Wednesday;0;0
8900;Thursday;0;0
8900;Friday;1;0
8825;Monday;0;1
8975;Tuesday;0;0
9000;Wednesday;0;0
9000;Thursday;0;0
8925;Friday;1;0
9000;Monday;0;1
9100;Tuesday;0;0
9100;Wednesday;0;0
8950;Thursday;0;0
8925;Friday;1;0
8600;Monday;0;1
8650;Tuesday;0;0
9000;Wednesday;0;0
9250;Thursday;0;0
9725;Friday;1;0
9700;Monday;0;1
9750;Tuesday;0;0
9725;Wednesday;0;0
9825;Thursday;0;0
9725;Friday;1;0
9150;Monday;0;1
9150;Tuesday;0;0
